"","Project","Replication","Lab","T_N","C_N","T_M","SE_T_M","C_M","SE_C_M","T_SD","SE_T_SD","C_SD","SE_C_SD","MD","SE_MD","pooled_SD","SE_pooled_SD","SMD","SE_SMD"
"11","ML1","Nosek1","lse",176,91,0.521867969598853,0.0341212587677923,0.160115406101726,0.0505982651336956,0.452669650829567,0.0241962106113547,0.482676686347205,0.0359765960608898,0.361752563497126,0.059790683286516,0.463078817839,0.020077012981182,0.778976695481775,0.13308957210919
"12","ML1","Nosek1","luc",121,20,0.481390748030893,0.0409566516866116,0.0965168184692735,0.102947321511062,0.450523168552728,0.0290811454814219,0.460394418000524,0.0746858367687154,0.384873929561619,0.109076197677289,0.451885199264814,0.027005305914804,0.847102106351808,0.245317564822972
"13","ML1","Nosek1","mcdaniel",71,20,0.553345494704463,0.0543307721725746,0.250539655918005,0.120291020234931,0.457799223618436,0.0386910961652532,0.537957796656215,0.087268278281945,0.302805838786458,0.120510715787523,0.476046243019508,0.0354823919941668,0.630707029216817,0.255325530341485
"14","ML1","Nosek1","msvu",52,9,0.637255989222502,0.0663672929426715,0.447707232395149,0.180755978917663,0.478581355437083,0.0473866153200474,0.542267936752988,0.135566984188247,0.189548756827353,0.176075408621184,0.487704445165455,0.0445211210021102,0.383689885750912,0.35810558472698
"15","ML1","Nosek1","mturk",484,410,0.585469163017056,0.0206091586635074,0.332355094644345,0.0231253319946781,0.453401490597163,0.0145879538380077,0.468252284291571,0.0163720571832343,0.253114068372711,0.0308935036732235,0.460270366603236,0.0108911135882467,0.54946222260922,0.0683111824887079
"16","ML1","Nosek1","osu",60,30,0.370590318496025,0.054232852647476,0.115488891182894,0.0755697185977029,0.420085870241991,0.0386720389482505,0.413912395402795,0.0543493601567641,0.25510142731313,0.093481393461041,0.418061500820584,0.0313350342814197,0.604982842732782,0.226234182147406
"17","ML1","Nosek1","oxy",85,32,0.584338854584947,0.0557849931658713,0.264812664153061,0.0934958269184535,0.51431222454253,0.039680049586684,0.528892265813458,0.0671693849277277,0.319526190431886,0.107491801294292,0.518282878076396,0.034026937966241,0.612478315439446,0.209898010335135
"18","ML1","Nosek1","pi",809,427,0.613293219221509,0.0154448470781621,0.322143511992569,0.0241376840206889,0.439296631816886,0.0109279121547947,0.498780579293019,0.0170879410806406,0.29114970722894,0.0275574922555385,0.460700471765789,0.00926979607681622,0.631587611429596,0.0611149230165694
"19","ML1","Nosek1","psu",74,15,0.463449519426567,0.0595307338018441,0.17917901387749,0.119279018942023,0.512102735549193,0.0423819239509893,0.461965653914413,0.0873033024650621,0.284270505549077,0.142818302507084,0.50437128467273,0.0380184160520222,0.558738493765006,0.283818568257424
"20","ML1","Nosek1","qccuny",74,19,0.354154172152931,0.0565107034145248,0.195698683866468,0.129883383844818,0.486123451841119,0.040231863133142,0.566148544624665,0.0943580907707776,0.158455488286463,0.12935568815213,0.502963786342339,0.0370789822666941,0.312438669079813,0.256087155838396
"21","ML1","Nosek1","qccuny2",4,4,0.235609639602145,0.107755800880629,-0.0958445940877697,0.319320705686039,0.215511601761258,0.0879822429941626,0.638641411372077,0.260724264412079,0.331454233689915,0.337011907361232,0.476606810071479,0.127378527963623,0.604082835352824,0.632505664718511
"22","ML1","Nosek1","sdsu",117,38,0.466689799733254,0.0506205349898405,0.223635856474307,0.0786919748655828,0.547544803491867,0.0359480774886974,0.485089911782681,0.0563905568231843,0.243053943258946,0.0995405395016594,0.533112505786568,0.0303769042386397,0.453675769582305,0.18757701048755
"23","ML1","Nosek1","swps",51,25,0.514344303859958,0.0462896354782585,0.366316114073169,0.0788927041889891,0.330574118751321,0.0330574118751321,0.394463520944945,0.0569359050007629,0.148028189786789,0.0860779537543374,0.352565839432316,0.02878688024484,0.415587526823727,0.244002529490982
"24","ML1","Nosek1","swpson",112,53,0.508011653736065,0.0409515385901887,0.238366822343184,0.0706941112896274,0.433390347660416,0.0290872556103599,0.514660898713514,0.0504666531812194,0.269644831392881,0.0768386226434387,0.460876480178216,0.0254476465190421,0.582372764572757,0.169022435184342
"25","ML1","Nosek1","tamu",121,58,0.420245240730791,0.0422446794151281,0.236064792816399,0.0592923324436212,0.464691473566409,0.0299957056374548,0.451556950808073,0.0422921833247934,0.184180447914392,0.073544792834095,0.460502609368036,0.0244065894833758,0.398257751888324,0.160414575744092
"26","ML1","Nosek1","tamuc",69,15,0.558891385058598,0.0509792376196713,0.277838612299999,0.111946265245705,0.423465351724932,0.0363118543388504,0.433566020966733,0.0819362763146994,0.281052772758599,0.121135019172021,0.42520684210675,0.0330024514035084,0.654911825223276,0.286756632395894
"27","ML1","Nosek1","tamuon",163,45,0.285485770907836,0.0409144629458672,0.222776130407663,0.0827636502794217,0.522360894725327,0.0290200497069626,0.555195444272419,0.0591840332181256,0.0627096405001723,0.0891732455474532,0.529545113830275,0.0260257224851345,0.117989956492904,0.167881674819132
"28","ML1","Nosek1","tilburg",58,20,0.485599389875859,0.0719346190839289,0.428677730509219,0.108284310243227,0.54783773739995,0.0513097051897811,0.484262157201064,0.0785576953410054,0.0569216593666403,0.138122645808874,0.532655704103391,0.0429226198285621,0.105805245703301,0.256880307497225
"29","ML1","Nosek1","ufl",94,31,0.418946770330744,0.0572242769059567,0.0311913560287525,0.0981964060087307,0.554809949024442,0.0406806392047892,0.546734449933398,0.0705831139796642,0.387755414301991,0.114503426472472,0.552851191839914,0.0351060857879379,0.697087094241939,0.210516784293507
"30","ML1","Nosek1","unipd",86,48,0.467245082006124,0.0513179608675108,0.11325861356907,0.0665077815028337,0.475903191052073,0.0365001085617681,0.46077942664639,0.0475257690482032,0.353986468437054,0.0847833217002508,0.470573940165643,0.0288527394852,0.747960515284643,0.184878552614252
"31","ML1","Nosek1","uva",57,24,0.623419870159855,0.0571892522575327,0.0992331761534534,0.106527009923404,0.431769386021306,0.0407983721122651,0.52187363627348,0.0769460697978312,0.524186694006402,0.111890879545336,0.459827803115857,0.0363525797329394,1.12910047453485,0.256821026006661
"32","ML1","Nosek1","vcu",77,24,0.46805910186113,0.0584329881519549,0.0664300649336343,0.115430049749236,0.51274739008231,0.0415893051501209,0.565489445739411,0.0833768700647673,0.401629036927495,0.122845713314683,0.525472875476899,0.0371565433579309,0.75851184392044,0.238064109475099
"33","ML1","Nosek1","wisc",75,16,0.615588291062372,0.0476156803607386,0.243965628029107,0.137665104125391,0.412363888108794,0.0338961028031927,0.550660416501566,0.100536377214366,0.371622663033265,0.12081886830228,0.438737433374554,0.0327015575099762,0.839866133031826,0.280057401375233
"34","ML1","Nosek1","wku",69,26,0.414619792439345,0.0646495048656535,0.228633149243281,0.114450117616832,0.537019119842876,0.0460490096237643,0.583583383061216,0.0825311535100745,0.185986643196064,0.126547412822405,0.549924017330693,0.0401073310562148,0.335468219154496,0.229550165660171
"35","ML1","Nosek1","wl",76,14,0.577714367592777,0.0519680243054047,0.534406907992131,0.133406242318149,0.453046732485449,0.0369911108074848,0.499160452011455,0.0978934186623155,0.0433074596006456,0.133828886206264,0.46014999623715,0.034489700387107,0.093311169189557,0.288434416129251
"36","ML1","Nosek1","wpi",42,42,0.434638070192504,0.082321338258122,0.178173220471408,0.0671466673096255,0.533503247196811,0.05891557775383,0.435160139595943,0.0480553983025232,0.256464849721096,0.106233128841231,0.486821354226939,0.0377846650008308,0.521979482594848,0.219933331292959
