"","Project","Replication","Lab","T_N","C_N","T_M","SE_T_M","C_M","SE_C_M","T_SD","SE_T_SD","C_SD","SE_C_SD","MD","SE_MD","pooled_SD","SE_pooled_SD","SMD","SE_SMD"
"16","ML1","Jacowitz_Everest","osu",47,46,4195.65957446809,169.398269217463,1244.21739130435,169.702574893977,1161.33602366068,121.077650248489,1150.97886191698,121.323824745537,2951.44218316374,239.803954345569,1156.22594601307,85.2381076186071,2.53154574261412,0.277061077112975
"17","ML1","Jacowitz_Everest","oxy",62,45,3980.52419354839,137.625626197209,1682.18888888889,162.354087784775,1083.66526434263,98.110443167623,1089.10433013518,116.098911685408,2298.3353046595,212.666331817216,1085.94780791078,74.5832016567337,2.10127306888588,0.241735992746998
"18","ML1","Jacowitz_Everest","pi",610,594,3992.46557377049,45.0529997150472,1798.72811447811,45.8666359960293,1112.72700957048,31.8834262867041,1117.8669369696,32.4599440375712,2193.73745929238,64.2885245660348,1115.26572463115,22.7368629370141,1.96578113544688,0.0701674672094663
"19","ML1","Jacowitz_Everest","psu",43,44,4533.56976744186,143.663532501145,1268.07954545455,131.259054800095,942.064782560319,102.787694657971,870.674070217223,93.8871995478484,3265.49022198732,194.419508732262,906.652328217503,69.1315919209483,3.5698114167496,0.344109348519967
"20","ML1","Jacowitz_Everest","qccuny",46,47,4118.67391304348,173.32523128876,925.787234042553,109.064134210612,1175.54891300188,123.913735534036,747.706033439736,77.953742724813,3192.88667900092,203.84268857314,982.837026505781,72.4557068847375,3.22178240543557,0.313230190741577
"21","ML1","Jacowitz_Everest","qccuny2",38,39,4044.81578947368,192.925739165416,1233.05128205128,140.547786998297,1189.27412804443,138.25030920428,877.72064848369,100.681463352616,2811.7645074224,237.768150637565,1043.11554877979,84.6078433633264,2.66848390210336,0.311701554422307
"22","ML1","Jacowitz_Everest","sdsu",77,72,4323.73376623377,100.274720296057,1540.74305555556,124.972955600636,879.907099553606,71.3698900763167,1060.43069244162,88.9893668862661,2782.99071067821,159.233174875846,971.29696338444,56.4554892562415,2.85058396035857,0.232098464687143
"23","ML1","Jacowitz_Everest","swps",18,36,3943.38888888889,254.526535834121,1817.5,182.977353529779,1079.86463688137,185.195257370584,1097.86412117868,131.219860679452,2125.88888888889,315.236802469277,1092.01231658468,106.065612461871,1.91852597461075,0.339137725279705
"24","ML1","Jacowitz_Everest","swpson",65,73,3197.38461538462,71.5471374753537,2740.76712328767,91.2289028603517,576.831463479252,50.9851799284924,779.460087720054,64.9550073100045,456.617492096944,117.934138072369,691.541268949035,41.7775359021698,0.656640446826849,0.174140482090918
"25","ML1","Jacowitz_Everest","tamu",100,76,4419.315,103.669290051333,1783.90789473684,131.613902611284,1036.69290051333,73.6745563434061,1147.38340209518,93.6834624823937,2635.40710526316,165.232296726619,1085.78891066433,58.0378585437773,2.41670226107931,0.198873178531923
"26","ML1","Jacowitz_Everest","tamuc",36,43,4589.54166666667,155.98429201416,1258.02325581395,173.347862513049,935.90575208496,111.862133053257,1136.71795174847,124.026096611965,3331.51841085271,237.249028344364,1050.21054576915,84.0841379003232,3.14122262728855,0.335397770900529
"27","ML1","Jacowitz_Everest","tamuon",101,102,4131.5297029703,98.2643630248641,2003.3137254902,138.169253171306,987.544626388555,69.8299502043683,1395.44105473341,98.1828899926275,2128.2159774801,169.82770294385,1209.82147519753,60.1908680668128,1.75254231719565,0.164690489730539
"28","ML1","Jacowitz_Everest","tilburg",17,48,3374.82352941176,328.801743135476,1680.57291666667,116.517268822529,1355.68431683477,239.65339339553,807.255318239127,83.2620286387239,1694.2506127451,275.51200021714,976.177786511784,86.2827415607695,1.71483835679638,0.316833368350537
"29","ML1","Jacowitz_Everest","ufl",59,60,4214.6779661017,146.564789583622,1469.2,121.266180235573,1125.7855102975,104.526560524759,939.323793021125,86.4717641843226,2745.4779661017,189.939514637117,1035.96116228128,67.4353277679141,2.63314384254489,0.24963430500217
"30","ML1","Jacowitz_Everest","unipd",46,56,3382.47826086957,109.714947916231,2525.10714285714,120.36204699246,744.122980849281,78.4374492919195,900.707084433142,85.8790508875472,857.371118012422,165.934362750767,833.890786226852,58.6723509762426,1.02042381767092,0.210016834352397
"31","ML1","Jacowitz_Everest","uva",35,41,3906.72857142857,189.944635169757,1539.67073170732,142.363621742555,1123.72761603603,136.271989862943,911.571956908478,101.916843101493,2367.05783972125,233.487752444268,1014.57290292787,82.8395306342528,2.30931894252206,0.294914534112497
"32","ML1","Jacowitz_Everest","vcu",49,51,4226.79591836735,138.401233938774,1028.79411764706,94.1108130484552,968.808637571421,98.8786175187892,672.08563573752,67.208563573752,3198.00180072029,166.186948193444,830.768537397009,59.0401490995817,3.81990178445158,0.335204853203892
"33","ML1","Jacowitz_Everest","wisc",44,47,4377.01136363636,166.939865621676,1529.01063829787,142.180387542059,1107.3537936389,119.409030485431,974.739627939518,101.62363118901,2848.00072533849,218.355505854436,1040.92327205388,77.5858398557996,2.71290099915923,0.289312241263496
"34","ML1","Jacowitz_Everest","wku",44,54,4330.67045454545,123.180998489175,1335.36111111111,166.34115141541,817.090306579857,88.1091137161537,1222.35283258437,118.725402510156,2995.30934343434,215.308497621135,1060.15984535708,76.1150410413034,2.80319724318004,0.284065654371606
"35","ML1","Jacowitz_Everest","wl",41,45,3998.63414634146,174.252301682309,1595.5,113.697103362976,1115.75913633045,124.745663767567,762.703355893305,81.3044509216403,2403.13414634146,204.53836425217,947.378965835259,72.6606497966073,2.5138860917999,0.287268058075789
"36","ML1","Jacowitz_Everest","wpi",34,49,3993.08823529412,158.376074731947,1683.73469387755,150.963982322828,923.483273056406,113.672932974987,1056.7478762598,107.853878483595,2309.35354141657,224.228546892263,1004.59116606814,78.4453907824618,2.27743724564472,0.283096463003269
