"","Project","Replication","Lab","T_N","C_N","T_M","SE_T_M","C_M","SE_C_M","T_SD","SE_T_SD","C_SD","SE_C_SD","MD","SE_MD","pooled_SD","SE_pooled_SD","SMD","SE_SMD"
"17","ML1","Jacowitz_Babies","oxy",56,55,3838.95535714286,130.440600302476,1683.54545454545,120.583030388321,976.128071313976,93.070159831033,894.26768753528,86.0509483543463,2155.4099025974,177.778471585246,936.468205423125,63.136673529747,2.28575758010078,0.243059716568817
"18","ML1","Jacowitz_Babies","pi",647,531,3957.13755795981,41.4385516881515,1701.09416195857,43.2366299922542,1054.0390681609,29.3241512960455,996.320569851516,30.6017430430503,2256.04339600125,60.220858215097,1028.42753542489,21.196808038867,2.19228303231025,0.0739216049415653
"19","ML1","Jacowitz_Babies","psu",44,40,4153.88636363636,117.04969475478,1181.3375,144.758594788787,776.419838654472,83.723504372278,915.533740835899,103.663782873298,2972.54886363636,184.700342770794,845.443116068094,65.6191118991051,3.48369249037725,0.345099821233327
"20","ML1","Jacowitz_Babies","qccuny",48,43,4306.17708333333,134.989047271731,1305.04651162791,160.885834086229,935.23155335982,96.4617694306933,1054.9989664515,115.109824330099,3001.13057170543,208.620163111639,993.551608854856,74.0549645517913,2.99507035214855,0.304359896374972
"21","ML1","Jacowitz_Babies","qccuny2",47,27,3982.81914893617,182.593713615702,1260.68518518519,140.511930702062,1251.7994327538,130.509112618819,730.121409136708,101.249622229093,2722.13396375099,263.828533312414,1092.53841012342,90.4191221742408,2.46550876435272,0.313325269822621
"22","ML1","Jacowitz_Babies","sdsu",87,56,4029.18390804598,107.380510267121,1430.09821428571,100.716496813886,1001.57872217554,76.3696616036632,753.693248547341,71.861831625687,2599.08569376026,156.405102271668,912.928021706903,54.1723115706476,2.8318027771431,0.238910378422202
"23","ML1","Jacowitz_Babies","swps",34,32,4265.95588235294,186.909701057005,1027.34375,190.960499891735,1089.86147554331,134.152673985562,1080.23571529775,137.190073032956,3238.61213235294,267.282897770132,1085.20966006123,95.1791834986157,2.94918663253719,0.35374225116173
"24","ML1","Jacowitz_Babies","swpson",67,71,4027.5,120.777165472963,1389.69014084507,151.473518801168,988.603706183012,86.0469079207271,1276.33855608869,107.87029611524,2637.80985915493,195.149621512023,1145.76287417873,69.2180666008857,2.28950675759742,0.218362759494611
"25","ML1","Jacowitz_Babies","tamu",93,70,4088.37634408602,105.808849358704,1633.10714285714,114.916544519184,1020.38359063786,75.2236763160019,961.460791866245,81.8449778144619,2455.26920122888,157.532407394409,995.558081182914,55.3087822879397,2.45471449274706,0.20805949669938
"26","ML1","Jacowitz_Babies","tamuc",30,47,4201.76666666667,189.159642990778,1432.77659574468,149.748399697489,1036.07003435673,136.042660404232,1026.62330528879,107.032878479814,2768.99007092199,240.765211899678,1030.28631147477,83.5672548095046,2.66061190741509,0.315413322934478
"27","ML1","Jacowitz_Babies","tamuon",110,99,4146.81363636364,99.6795256509101,1671.67171717172,98.7479350020153,1045.44768484078,70.8066517679119,982.529547672263,70.1806819765902,2475.14191919192,140.771696514891,1016.14606892088,49.8206599431553,2.42697524853589,0.18205579490232
"28","ML1","Jacowitz_Babies","tilburg",23,43,3921.26086956522,233.626185465464,1520.55813953488,131.807764868584,1120.43182492658,168.911453020665,864.32131515139,94.3051869391673,2400.70273003033,248.021107414766,960.096353721153,84.2060206338575,2.47104432247231,0.333811489792656
"29","ML1","Jacowitz_Babies","ufl",54,59,4330.16666666667,123.835035441491,1125.64406779661,96.173092609563,909.997947333368,88.3868141019031,738.719541357319,68.588387525172,3204.52259887006,155.361560254535,824.949261477836,55.1192410343259,3.85819287291578,0.31757591351799
"30","ML1","Jacowitz_Babies","unipd",41,63,3649.80487804878,189.591245872799,1406.99206349206,112.226738439628,1213.97630165321,135.726676678519,890.772121089445,79.9936979226504,2242.81281455672,206.612968015305,1029.68197396116,71.7413425479702,2.16209887689143,0.249291047618463
"31","ML1","Jacowitz_Babies","uva",33,42,4155.83333333333,125.247194342455,1767.36904761905,124.31177210526,719.490354203353,89.9362942754192,805.632360773759,88.9672110555275,2388.46428571429,178.899583299856,769.060157284105,63.2163555172028,3.07365655789718,0.340564794131839
"32","ML1","Jacowitz_Babies","vcu",54,43,4153.99074074074,143.995767933883,1311.17441860465,127.026649268992,1058.1484696747,102.776464887001,832.969443529485,90.8844172990265,2842.81632213609,197.253938307457,965.096906436321,69.6498698406356,2.92230125248163,0.291779271305675
"33","ML1","Jacowitz_Babies","wisc",41,47,4067.36585365854,115.005439988499,1437.62765957447,129.230174097759,736.394120226987,82.3313655529348,885.957437563926,92.3674479865747,2629.73819408407,175.188421506179,819.794349894559,62.1484492792104,3.17973204203871,0.319872233901445
"34","ML1","Jacowitz_Babies","wku",56,35,4417.38392857143,130.311788937966,1258.92857142857,166.915467136116,975.164135326932,92.9782521408255,987.485220610602,119.750172597467,3158.45535714286,211.139602672343,979.889354376209,73.0366402271195,3.19602576293572,0.31901548905762
"35","ML1","Jacowitz_Babies","wl",47,36,3803.14893617021,152.929330685232,1558.30555555556,133.149445036034,1048.43066944846,109.306453359756,798.896670216205,95.4864156144392,2244.84338061466,210.119036188244,948.694828557919,74.0806201300782,2.34425506087428,0.28504828455003
"36","ML1","Jacowitz_Babies","wpi",36,44,3899.51388888889,188.106605503823,1637.63636363636,168.79180741503,1128.63963302294,134.898237901769,1119.63818576316,120.733690555308,2261.87752525252,252.52969728104,1123.68621535343,89.3956753752276,1.99348093198587,0.272712570948669
